,filepaths,labels
211,mango_6/Anthracnose\IMG_20211011_140502 (Custom).jpg,Anthracnose
212,mango_6/Anthracnose\IMG_20211011_140506 (Custom).jpg,Anthracnose
213,mango_6/Anthracnose\IMG_20211011_140510 (Custom).jpg,Anthracnose
214,mango_6/Anthracnose\IMG_20211011_140515 (Custom).jpg,Anthracnose
215,mango_6/Anthracnose\IMG_20211011_140521 (Custom).jpg,Anthracnose
216,mango_6/Anthracnose\IMG_20211011_140526 (Custom).jpg,Anthracnose
217,mango_6/Anthracnose\IMG_20211011_140530 (Custom).jpg,Anthracnose
218,mango_6/Anthracnose\IMG_20211011_140539 (Custom).jpg,Anthracnose
219,mango_6/Anthracnose\IMG_20211011_140539 - Copy (Custom).jpg,Anthracnose
220,mango_6/Anthracnose\IMG_20211011_140547 (Custom).jpg,Anthracnose
221,mango_6/Anthracnose\IMG_20211011_140551 (Custom).jpg,Anthracnose
222,mango_6/Anthracnose\IMG_20211011_140557 (Custom).jpg,Anthracnose
223,mango_6/Anthracnose\IMG_20211011_140557 - Copy (Custom).jpg,Anthracnose
224,mango_6/Anthracnose\IMG_20211011_140600 (Custom).jpg,Anthracnose
225,mango_6/Anthracnose\IMG_20211011_140606 (Custom).jpg,Anthracnose
226,mango_6/Anthracnose\IMG_20211011_140610 (Custom).jpg,Anthracnose
227,mango_6/Anthracnose\IMG_20211011_140614 (Custom).jpg,Anthracnose
228,mango_6/Anthracnose\IMG_20211011_140621 (Custom).jpg,Anthracnose
229,mango_6/Anthracnose\IMG_20211011_140624 (Custom).jpg,Anthracnose
230,mango_6/Anthracnose\IMG_20211011_140624 - Copy (Custom).jpg,Anthracnose
231,mango_6/Anthracnose\IMG_20211011_140636 (Custom).jpg,Anthracnose
232,mango_6/Anthracnose\IMG_20211011_140639 (Custom).jpg,Anthracnose
233,mango_6/Anthracnose\IMG_20211011_152906 (Custom).jpg,Anthracnose
234,mango_6/Anthracnose\IMG_20211011_152911 (Custom).jpg,Anthracnose
235,mango_6/Anthracnose\IMG_20211011_152913 (Custom).jpg,Anthracnose
236,mango_6/Anthracnose\IMG_20211011_152917 (Custom).jpg,Anthracnose
237,mango_6/Anthracnose\IMG_20211011_152923 (Custom).jpg,Anthracnose
238,mango_6/Anthracnose\IMG_20211011_152926 (Custom).jpg,Anthracnose
239,mango_6/Anthracnose\IMG_20211011_152930 (Custom).jpg,Anthracnose
240,mango_6/Anthracnose\IMG_20211011_152934 (Custom).jpg,Anthracnose
241,mango_6/Anthracnose\IMG_20211011_152941 (Custom).jpg,Anthracnose
242,mango_6/Anthracnose\IMG_20211011_152946 (Custom).jpg,Anthracnose
243,mango_6/Anthracnose\IMG_20211011_152949 (Custom).jpg,Anthracnose
244,mango_6/Anthracnose\IMG_20211011_152955 (Custom).jpg,Anthracnose
245,mango_6/Anthracnose\IMG_20211011_152958 (Custom).jpg,Anthracnose
246,mango_6/Anthracnose\IMG_20211011_153001 (Custom).jpg,Anthracnose
247,mango_6/Anthracnose\IMG_20211011_153011 (Custom).jpg,Anthracnose
248,mango_6/Anthracnose\IMG_20211011_153014 (Custom).jpg,Anthracnose
249,mango_6/Anthracnose\IMG_20211011_153020 (Custom).jpg,Anthracnose
250,mango_6/Anthracnose\IMG_20211011_153027 (Custom).jpg,Anthracnose
251,mango_6/Anthracnose\IMG_20211011_153031 (Custom).jpg,Anthracnose
252,mango_6/Anthracnose\IMG_20211011_153045 (Custom).jpg,Anthracnose
253,mango_6/Anthracnose\IMG_20211011_153049 (Custom).jpg,Anthracnose
254,mango_6/Anthracnose\IMG_20211011_153059 (Custom).jpg,Anthracnose
255,mango_6/Anthracnose\IMG_20211011_153102 (Custom).jpg,Anthracnose
256,mango_6/Anthracnose\IMG_20211011_153105 (Custom).jpg,Anthracnose
257,mango_6/Anthracnose\IMG_20211011_153109 (Custom).jpg,Anthracnose
258,mango_6/Anthracnose\IMG_20211011_153112 (Custom).jpg,Anthracnose
259,mango_6/Anthracnose\IMG_20211011_153116 (Custom).jpg,Anthracnose
260,mango_6/Anthracnose\IMG_20211011_153120 (Custom).jpg,Anthracnose
261,mango_6/Anthracnose\IMG_20211011_153126 (Custom).jpg,Anthracnose
262,mango_6/Anthracnose\IMG_20211011_153129 (Custom).jpg,Anthracnose
263,mango_6/Anthracnose\IMG_20211011_153134 (Custom).jpg,Anthracnose
264,mango_6/Anthracnose\IMG_20211011_153138 (Custom).jpg,Anthracnose
265,mango_6/Anthracnose\IMG_20211011_153155 (Custom).jpg,Anthracnose
266,mango_6/Anthracnose\IMG_20211011_153159 (Custom).jpg,Anthracnose
267,mango_6/Anthracnose\IMG_20211011_153209 (Custom).jpg,Anthracnose
268,mango_6/Anthracnose\IMG_20211011_153216 (Custom).jpg,Anthracnose
269,mango_6/Anthracnose\IMG_20211011_153220 (Custom).jpg,Anthracnose
270,mango_6/Anthracnose\IMG_20211011_153223 (Custom).jpg,Anthracnose
271,mango_6/Anthracnose\IMG_20211011_153226 (Custom).jpg,Anthracnose
272,mango_6/Anthracnose\IMG_20211011_153236 (Custom).jpg,Anthracnose
273,mango_6/Anthracnose\IMG_20211011_153239 (Custom).jpg,Anthracnose
274,mango_6/Anthracnose\IMG_20211011_153243 (Custom).jpg,Anthracnose
275,mango_6/Anthracnose\IMG_20211011_153247 (Custom).jpg,Anthracnose
276,mango_6/Anthracnose\IMG_20211011_153250 (Custom).jpg,Anthracnose
277,mango_6/Anthracnose\IMG_20211011_153254 (Custom).jpg,Anthracnose
278,mango_6/Anthracnose\IMG_20211011_153301 (Custom).jpg,Anthracnose
279,mango_6/Anthracnose\IMG_20211011_153304 (Custom).jpg,Anthracnose
280,mango_6/Anthracnose\IMG_20211011_153309 (Custom).jpg,Anthracnose
281,mango_6/Anthracnose\IMG_20211011_153311 (Custom).jpg,Anthracnose
282,mango_6/Anthracnose\IMG_20211011_153316 (Custom).jpg,Anthracnose
283,mango_6/Anthracnose\IMG_20211011_153322 (Custom).jpg,Anthracnose
284,mango_6/Anthracnose\IMG_20211011_153324 (Custom).jpg,Anthracnose
285,mango_6/Anthracnose\IMG_20211011_153330 (Custom).jpg,Anthracnose
286,mango_6/Anthracnose\IMG_20211011_153332 (Custom).jpg,Anthracnose
287,mango_6/Anthracnose\IMG_20211011_153336 (Custom).jpg,Anthracnose
288,mango_6/Anthracnose\IMG_20211011_153345 (Custom).jpg,Anthracnose
289,mango_6/Anthracnose\IMG_20211011_153348 (Custom).jpg,Anthracnose
290,mango_6/Anthracnose\IMG_20211011_153352 (Custom).jpg,Anthracnose
291,mango_6/Anthracnose\IMG_20211011_153355 (Custom).jpg,Anthracnose
292,mango_6/Anthracnose\IMG_20211011_153357 (Custom).jpg,Anthracnose
293,mango_6/Anthracnose\IMG_20211011_153404 (Custom).jpg,Anthracnose
294,mango_6/Anthracnose\IMG_20211011_153406 (Custom).jpg,Anthracnose
295,mango_6/Anthracnose\IMG_20211011_153410 (Custom).jpg,Anthracnose
296,mango_6/Anthracnose\IMG_20211011_153413 (Custom).jpg,Anthracnose
297,mango_6/Anthracnose\IMG_20211011_153419 (Custom).jpg,Anthracnose
298,mango_6/Anthracnose\IMG_20211011_153423 (Custom).jpg,Anthracnose
299,mango_6/Anthracnose\IMG_20211011_153429 (Custom).jpg,Anthracnose
300,mango_6/Anthracnose\IMG_20211011_153429 - Copy - Copy (Custom).jpg,Anthracnose
301,mango_6/Anthracnose\IMG_20211011_153432 (Custom).jpg,Anthracnose
302,mango_6/Anthracnose\IMG_20211011_153436 (Custom).jpg,Anthracnose
303,mango_6/Anthracnose\IMG_20211011_153442 (Custom).jpg,Anthracnose
304,mango_6/Anthracnose\IMG_20211011_153444 (Custom).jpg,Anthracnose
305,mango_6/Anthracnose\IMG_20211011_153447 (Custom).jpg,Anthracnose
306,mango_6/Anthracnose\IMG_20211011_153453 (Custom).jpg,Anthracnose
307,mango_6/Anthracnose\IMG_20211011_153551 (Custom).jpg,Anthracnose
308,mango_6/Anthracnose\IMG_20211011_153554 (Custom).jpg,Anthracnose
309,mango_6/Anthracnose\IMG_20211011_153557 (Custom).jpg,Anthracnose
310,mango_6/Anthracnose\IMG_20211011_153557 - Copy (Custom).jpg,Anthracnose
311,mango_6/Anthracnose\IMG_20211011_153604 (Custom).jpg,Anthracnose
312,mango_6/Anthracnose\IMG_20211011_153604 - Copy (Custom).jpg,Anthracnose
313,mango_6/Anthracnose\IMG_20211011_153606 (Custom).jpg,Anthracnose
314,mango_6/Anthracnose\IMG_20211011_160515 (Custom).jpg,Anthracnose
315,mango_6/Anthracnose\IMG_20211011_160519 (Custom).jpg,Anthracnose
316,mango_6/Anthracnose\IMG_20211011_160523 (Custom).jpg,Anthracnose
317,mango_6/Anthracnose\IMG_20211011_160525 (Custom).jpg,Anthracnose
318,mango_6/Anthracnose\IMG_20211011_160528 (Custom).jpg,Anthracnose
319,mango_6/Anthracnose\IMG_20211011_160531 (Custom).jpg,Anthracnose
320,mango_6/Anthracnose\IMG_20211011_160557 (Custom).jpg,Anthracnose
321,mango_6/Anthracnose\IMG_20211011_160602 (Custom).jpg,Anthracnose
322,mango_6/Anthracnose\IMG_20211011_160605 (Custom).jpg,Anthracnose
323,mango_6/Anthracnose\IMG_20211011_160609 (Custom).jpg,Anthracnose
324,mango_6/Anthracnose\IMG_20211011_160610 (Custom).jpg,Anthracnose
325,mango_6/Anthracnose\IMG_20211011_160612 (Custom).jpg,Anthracnose
326,mango_6/Anthracnose\IMG_20211011_161316 (Custom).jpg,Anthracnose
327,mango_6/Anthracnose\IMG_20211011_161321 (Custom).jpg,Anthracnose
328,mango_6/Anthracnose\IMG_20211011_161322 (Custom).jpg,Anthracnose
329,mango_6/Anthracnose\IMG_20211011_161325 (Custom).jpg,Anthracnose
330,mango_6/Anthracnose\IMG_20211011_161329 (Custom).jpg,Anthracnose
331,mango_6/Anthracnose\IMG_20211011_161335 (Custom).jpg,Anthracnose
332,mango_6/Anthracnose\IMG_20211011_161340 (Custom).jpg,Anthracnose
333,mango_6/Anthracnose\IMG_20211011_161343 (Custom).jpg,Anthracnose
334,mango_6/Anthracnose\IMG_20211011_161345 (Custom).jpg,Anthracnose
335,mango_6/Anthracnose\IMG_20211011_161351 (Custom).jpg,Anthracnose
336,mango_6/Anthracnose\IMG_20211011_161519 (Custom).jpg,Anthracnose
337,mango_6/Anthracnose\IMG_20211011_161524 (Custom).jpg,Anthracnose
338,mango_6/Anthracnose\IMG_20211011_161532 (Custom).jpg,Anthracnose
339,mango_6/Anthracnose\IMG_20211011_161534 (Custom).jpg,Anthracnose
340,mango_6/Anthracnose\IMG_20211011_161539 (Custom).jpg,Anthracnose
341,mango_6/Anthracnose\IMG_20211011_161605 (Custom).jpg,Anthracnose
342,mango_6/Anthracnose\IMG_20211011_161610 (Custom).jpg,Anthracnose
343,mango_6/Anthracnose\IMG_20211011_161615 (Custom).jpg,Anthracnose
344,mango_6/Anthracnose\IMG_20211011_161616 (Custom).jpg,Anthracnose
345,mango_6/Anthracnose\IMG_20211011_161622 (Custom).jpg,Anthracnose
346,mango_6/Anthracnose\IMG_20211011_161626 (Custom).jpg,Anthracnose
347,mango_6/Anthracnose\IMG_20211011_161628 (Custom).jpg,Anthracnose
348,mango_6/Anthracnose\IMG_20211011_161632 (Custom).jpg,Anthracnose
349,mango_6/Anthracnose\IMG_20211011_161636 (Custom).jpg,Anthracnose
350,mango_6/Anthracnose\IMG_20211011_161642 (Custom).jpg,Anthracnose
351,mango_6/Anthracnose\IMG_20211011_161653 (Custom).jpg,Anthracnose
